gpu_name,manufacturer,old_architecture,new_architecture
RTX A5000,NVIDIA,Unknown,Ampere
RTX A6000,NVIDIA,Unknown,Ampere
RTX A4500,NVIDIA,Unknown,Ampere
TITAN RTX,NVIDIA,Unknown,Turing
TITAN Xp,NVIDIA,Unknown,Pascal
TITAN V,NVIDIA,Unknown,Volta
TITAN Xp COLLECTORS EDITION,NVIDIA,Unknown,Pascal
NVIDIA TITAN Xp,NVIDIA,Unknown,Pascal
TITAN V CEO Edition,NVIDIA,Unknown,Volta
Radeon Pro VII,AMD,Unknown,GCN (Vega)
Radeon VII,AMD,Unknown,GCN (Vega)
RTX A5000 Laptop GPU,NVIDIA,Unknown,Ampere
Radeon Pro WX 8200,AMD,Unknown,GCN (Vega)
RTX A2000 12GB,NVIDIA,Unknown,Ampere
NVIDIA TITAN X,NVIDIA,Unknown,Maxwell
Tesla T10,NVIDIA,Unknown,Turing
Radeon Pro WX 9100,AMD,Unknown,GCN (Vega)
GeForce GTX TITAN X,NVIDIA,Unknown,Maxwell
RTX A2000,NVIDIA,Unknown,Ampere
Radeon Pro V520 MxGPU,AMD,Unknown,RDNA
Tesla T4,NVIDIA,Unknown,Turing
Radeon Pro SSG,AMD,Unknown,GCN (Vega)
Radeon Instinct MI25 MxGPU,AMD,Unknown,GCN (Vega)
RTX A2000 Laptop GPU,NVIDIA,Unknown,Ampere
Radeon Ryzen 9 4900HSS,AMD,Unknown,GCN (Vega)
GeForce GTX TITAN Z,NVIDIA,Unknown,Kepler
GeForce GTX TITAN Black,NVIDIA,Unknown,Kepler
Radeon Ryzen 7 4800HS,AMD,Unknown,GCN (Vega)
Radeon RX590 GME,AMD,Unknown,GCN
Radeon Ryzen 9 4900HS,AMD,Unknown,GCN (Vega)
GeForce GTX Titan,NVIDIA,Unknown,Kepler
Radeon Ryzen 9 5900HS,AMD,Unknown,RDNA 2
Radeon Pro Duo,AMD,Unknown,GCN
Radeon Ryzen 5 4600HS,AMD,Unknown,GCN (Vega)
Radeon Pro WX 7100,AMD,Unknown,GCN
Radeon Pro 580,AMD,Unknown,GCN
FirePro W9100,AMD,Unknown,GCN
Radeon Pro 580X,AMD,Unknown,GCN
Radeon Pro 5300,AMD,Unknown,RDNA
Ryzen 7 5800HS with Radeon Graphics,AMD,Unknown,RDNA 2
FirePro W8100,AMD,Unknown,GCN
Ryzen 7 4800HS with Radeon Graphics,AMD,Unknown,GCN (Vega)
Radeon Pro 570,AMD,Unknown,GCN
FirePro S7150,AMD,Unknown,GCN
FirePro W9000,AMD,Unknown,GCN
Radeon PRO W6400,AMD,Unknown,RDNA 2
Radeon Pro 5300M,AMD,Unknown,RDNA
Radeon Pro WX 7130,AMD,Unknown,GCN
Radeon HD 7990,AMD,Unknown,GCN
Radeon Pro WX 5100,AMD,Unknown,GCN
FirePro S10000,AMD,Unknown,GCN
Radeon HD 8990,AMD,Unknown,GCN
Radeon Ryzen 7 4800H,AMD,Unknown,GCN (Vega)
FirePro W7100,AMD,Unknown,GCN
GeForce MX550,NVIDIA,Unknown,Turing
FirePro S9000,AMD,Unknown,GCN
Ryzen 9 5900HS with Radeon Graphics,AMD,Unknown,RDNA 2
FirePro S9050,AMD,Unknown,GCN
GRID RTX6000P-6Q,NVIDIA,Unknown,Turing
Radeon Sky 500,AMD,Unknown,GCN
Radeon HD 7870,AMD,Unknown,GCN
Radeon Pro 465,AMD,Unknown,GCN
GeForce GTX 580,NVIDIA,Unknown,Fermi
Radeon HD 7870 XT,AMD,Unknown,GCN
FirePro W7000 Adapter,AMD,Unknown,GCN
GRID RTX6000P-4Q,NVIDIA,Unknown,Turing
FirePro W7000,AMD,Unknown,GCN
FirePro S7000,AMD,Unknown,GCN
FirePro W8000,AMD,Unknown,GCN
GeForce GTX 480,NVIDIA,Unknown,Fermi
GRID RTX8000-4Q,NVIDIA,Unknown,Turing
GeForce GTX 570,NVIDIA,Unknown,Fermi
Radeon HD 8970M,AMD,Unknown,GCN
GeForce GTX 880M,NVIDIA,Unknown,Kepler
GRID RTX8000P-2Q,NVIDIA,Unknown,Turing
Radeon HD 7850,AMD,Unknown,GCN
Radeon HD 7970M,AMD,Unknown,GCN
Radeon Pro WX 4100,AMD,Unknown,GCN
GeForce MX450,NVIDIA,Unknown,Turing
Radeon Pro 560X,AMD,Unknown,RDNA
GRID RTX8000-2Q,NVIDIA,Unknown,Turing
Tesla C2050,NVIDIA,Unknown,Fermi
Radeon Pro 560,AMD,Unknown,RDNA
Radeon Pro 460,AMD,Unknown,GCN
GeForce GTX 870M,NVIDIA,Unknown,Kepler
Radeon HD8970M,AMD,Unknown,GCN
Radeon E8870PCIe,AMD,Unknown,GCN
GeForce GTX 590,NVIDIA,Unknown,Fermi
FirePro V7000,AMD,Unknown,GCN
FirePro W7170M,AMD,Unknown,GCN
GeForce GTX 470,NVIDIA,Unknown,Fermi
Radeon Pro 555,AMD,Unknown,RDNA
