hardware_name,unified_manufacturer,type,performance_tier,fp32_tflops,memory_bandwidth_gbps,unified_tdp,unified_price,tops_per_watt_fp32,memory_compute_ratio,tflops_per_dollar
Huawei Ascend 910B,Huawei,GPU,Enterprise,94.0,1228.0,400.0,16854.0,0.235,13.063829787234043,0.0055773110240892
RTX 4090,NVIDIA,GPU,Enterprise,82.6,1008.0,450.0,1599.0,0.1835555555555555,12.203389830508476,0.0516572858036272
H100 SXM5 80GB,NVIDIA,GPU,Enterprise,66.91,3350.0,700.0,44489.88,0.0955857142857142,50.06725452099836,0.0015039375246685
RX 7900 XTX,AMD,GPU,Enterprise,61.42,960.0,335.0,999.0,0.1833432835820895,15.630087919244543,0.0614814814814814
L20 PCle,NVIDIA,GPU,Enterprise,59.35,864.0,275.0,4299.0,0.2158181818181818,14.55770850884583,0.0138055361712026
RTX 4080,NVIDIA,GPU,High-Performance,48.74,716.8,320.0,1199.0,0.1523125,14.706606483381204,0.040650542118432
Radeon Instinct MI250X,AMD,GPU,High-Performance,47.87,3280.0,500.0,14500.0,0.0957399999999999,68.51890536870692,0.0033013793103448
HGX H20,NVIDIA,GPU,High-Performance,44.0,4000.0,400.0,12000.0,0.11,90.9090909090909,0.0036666666666666
RTX 3090 Ti,NVIDIA,GPU,High-Performance,40.0,1008.0,450.0,1999.0,0.0888888888888888,25.2,0.0200100050025012
RTX A6000,NVIDIA,GPU,High-Performance,38.7,768.0,300.0,4649.0,0.129,19.84496124031008,0.008324370832437
RTX 3090,NVIDIA,GPU,High-Performance,35.58,936.0,350.0,1499.0,0.1016571428571428,26.30691399662732,0.0237358238825883
A10 PCIe,NVIDIA,GPU,High-Performance,31.24,600.2,150.0,2800.0,0.2082666666666666,19.21254801536492,0.0111571428571428
RTX 3080,NVIDIA,GPU,High-Performance,29.77,760.0,320.0,699.0,0.09303125,25.529056096741687,0.0425894134477825
RTX A5000,NVIDIA,GPU,High-Performance,27.77,768.0,230.0,2250.0,0.1207391304347826,27.6557436082103,0.0123422222222222
A100 SXM4 40 GB,NVIDIA,GPU,Mid-Range,19.49,1560.0,400.0,15000.0,0.048725,80.04104669061057,0.0012993333333333
