hardware_name,unified_manufacturer,type,performance_tier,release_date,unified_price,unified_tdp,process_nm,fp32_tflops,fp16_tflops,int8_tops,memory_size_gb,memory_bandwidth_gbps,g3d_mark,g2d_mark,fps_estimate_3d,cuda_score,opencl_score,tops_per_watt_fp32,tops_per_watt_int8,fps_per_dollar,tflops_per_dollar,memory_compute_ratio,fp16_fp32_ratio,int8_fp32_ratio,latency_ms,throughput_ops_per_sec,multi_api_support,cuda_efficiency,opencl_efficiency,vulkan_efficiency
Biren BR100,Biren,GPGPU,Enterprise,2022-08-22,0.0,550.0,7.0,256.0,0.0,2048.0,64000000000.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.46545454545454545,3.7236363636363636,0.0,0.0,6.40625,0.0,8.0,0.0,0.0,0,0.0,0.0,0.0
Instinct MI300X,AMD,GPU,Enterprise,2023-12-06,0.0,750.0,5.0,163.4,1307.4,2614.9,192000000000.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.21786666666666668,3.4865333333333335,0.0,0.0,32.43574051407589,8.001223990208079,16.003059975520195,0.0,0.0,0,0.0,0.0,0.0
Instinct MI325X,AMD,GPU,Enterprise,2024-10-10,0.0,1000.0,5.0,163.4,1300.0,2600.0,256000000000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.16340000000000002,2.6,0.0,0.0,36.71970624235006,7.9559363525091795,15.911872705018359,0.0,0.0,0,0.0,0.0,0.0
Instinct MI300A,AMD,GPU,Enterprise,2023-01-04,0.0,760.0,5.0,122.6,980.6,1961.2,128000000000.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.1613157894736842,2.5805263157894736,0.0,0.0,43.2300163132137,7.99836867862969,15.99673735725938,0.0,0.0,0,0.0,0.0,0.0
Huawei Ascend 910B,Huawei,GPU,Enterprise,2022-03-17,16854.0,400.0,7.0,94.0,376.0,0.0,32000000000.0,1228.0,0.0,0.0,0.0,0.0,0.0,0.235,0.0,0.0,0.005577311024089237,13.063829787234043,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0
RTX 6000 Ada Generation,NVIDIA,GPU,Enterprise,2022-12-03,6799.0,0.0,5.0,91.06,91.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013393146050889837,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
L40,NVIDIA,GPU,Enterprise,2022-10-13,0.0,300.0,0.0,90.52,90.52,362.0,48000000000.0,864.0,0.0,0.0,0.0,0.0,0.0,0.3017333333333333,1.2066666666666668,0.0,0.0,9.544851966416262,1.0,3.999116217410517,0.0,0.0,0,0.0,0.0,0.0
GB200 NVL2,NVIDIA,GPU,Enterprise,2024-06-02,0.0,1200.0,0.0,90.0,0.0,5000.0,384000000000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.075,4.166666666666667,0.0,0.0,177.77777777777777,0.0,55.55555555555556,0.0,0.0,0,0.0,0.0,0.0
GB300,NVIDIA,GPU,Enterprise,nan,0.0,1750.0,0.0,83.333333333333,0.0,0.0,287500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04761904761904743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
RTX 4090,NVIDIA,GPU,Enterprise,2022-09-20,1599.0,450.0,0.0,82.6,82.6,660.6,24000000000.0,1008.0,0.0,0.0,0.0,0.0,0.0,0.18355555555555556,1.468,0.0,0.051657285803627266,12.203389830508476,1.0,7.997578692493947,0.003390966194779811,40415.748455,0,0.0,0.0,0.0
