hardware_name,unified_manufacturer,type,performance_tier,fp32_tflops,fp16_tflops,int8_tops,unified_tdp,tops_per_watt_fp32,fp16_fp32_ratio,int8_fp32_ratio
Biren BR100,Biren,GPGPU,Enterprise,256.0,0.0,2048.0,550.0,0.46545454545454545,0.0,8.0
Instinct MI300X,AMD,GPU,Enterprise,163.4,1307.4,2614.9,750.0,0.21786666666666668,8.001223990208079,16.003059975520195
Instinct MI325X,AMD,GPU,Enterprise,163.4,1300.0,2600.0,1000.0,0.16340000000000002,7.9559363525091795,15.911872705018359
Instinct MI300A,AMD,GPU,Enterprise,122.6,980.6,1961.2,760.0,0.1613157894736842,7.99836867862969,15.99673735725938
Huawei Ascend 910B,Huawei,GPU,Enterprise,94.0,376.0,0.0,400.0,0.235,4.0,0.0
L40,NVIDIA,GPU,Enterprise,90.52,90.52,362.0,300.0,0.3017333333333333,1.0,3.999116217410517
GB200 NVL2,NVIDIA,GPU,Enterprise,90.0,0.0,5000.0,1200.0,0.075,0.0,55.55555555555556
GB300,NVIDIA,GPU,Enterprise,83.333333333333,0.0,0.0,1750.0,0.04761904761904743,0.0,0.0
RTX 4090,NVIDIA,GPU,Enterprise,82.6,82.6,660.6,450.0,0.18355555555555556,1.0,7.997578692493947
H100 SXM5 80GB,NVIDIA,GPU,Enterprise,66.91,133.8,1979.0,700.0,0.09558571428571429,1.9997010910177853,29.577043790165895
H200 SXM,NVIDIA,GPU,Enterprise,66.91,0.0,1979.0,700.0,0.09558571428571429,0.0,29.577043790165895
GH100,NVIDIA,GPU,Enterprise,66.91,0.0,1979.0,700.0,0.09558571428571429,0.0,29.577043790165895
GH200,NVIDIA,GPU,Enterprise,66.91,0.0,1979.0,700.0,0.09558571428571429,0.0,29.577043790165895
B200,NVIDIA,GPU,Enterprise,62.08,2250.0,4500.0,1000.0,0.062079999999999996,36.243556701030926,72.48711340206185
RX 7900 XTX,AMD,GPU,Enterprise,61.42,122.8,0.0,335.0,0.18334328358208957,1.9993487463366981,0.0
L20 PCle,NVIDIA,GPU,Enterprise,59.35,59.35,239.0,275.0,0.21581818181818183,1.0,4.026958719460826
H800 SXM5,NVIDIA,GPU,Enterprise,59.3,0.0,1979.0,700.0,0.08471428571428571,0.0,33.37268128161889
Data Center GPU Max 1550,Intel,GPU,Enterprise,52.43,52.43,0.0,600.0,0.08738333333333333,1.0,0.0
H100 PCIe,NVIDIA,GPU,Enterprise,51.22,204.9,0.0,350.0,0.14634285714285714,4.0003904724716906,0.0
RTX 4080,NVIDIA,GPU,High-Performance,48.74,48.74,390.0,320.0,0.15231250000000002,1.0,8.001641362330734
Radeon Instinct MI250X,AMD,GPU,High-Performance,47.87,383.0,383.0,500.0,0.09573999999999999,8.000835596406937,8.000835596406937
Radeon Instinct MI300,AMD,GPU,High-Performance,47.87,383.0,0.0,600.0,0.07978333333333333,8.000835596406937,0.0
Data Center GPU Max 1350,Intel,GPU,High-Performance,44.44,44.44,0.0,450.0,0.09875555555555555,1.0,0.0
HGX H20,NVIDIA,GPU,High-Performance,44.0,0.0,296.0,400.0,0.11,0.0,6.7272727272727275
RTX 3090 Ti,NVIDIA,GPU,High-Performance,40.0,40.0,320.0,450.0,0.08888888888888889,1.0,8.0
