hardware_name,unified_manufacturer,type,g3d_mark,g2d_mark,fps_estimate_3d,cuda_score,opencl_score,unified_price,unified_tdp,fps_per_dollar,multi_api_support
RTX 3090 Ti,NVIDIA,GPU,29094.0,1117.0,290.94,260346.0,229738.0,1999.0,450.0,0.14554277138569285,3
RTX A6000,NVIDIA,GPU,22122.0,832.0,221.22,224604.0,200330.0,4649.0,300.0,0.047584426758442676,3
RTX 3090,NVIDIA,GPU,26395.0,999.0,263.95,238123.0,204921.0,1499.0,350.0,0.17608405603735824,3
A10G,NVIDIA,GPU,0.0,0.0,0.0,187763.0,126737.0,0.0,150.0,0.0,2
RTX 3080,NVIDIA,GPU,24853.0,1003.0,248.53,206390.0,181771.0,699.0,320.0,0.3555507868383405,3
RTX A5000,NVIDIA,GPU,22867.0,984.0,228.67,193384.0,166307.0,2250.0,230.0,0.1016311111111111,3
RTX A4000,NVIDIA,GPU,18988.0,938.0,189.88,124547.0,116149.0,1000.0,140.0,0.18988,3
Quadro RTX 6000,NVIDIA,GPU,19692.0,837.0,196.92,159550.0,134522.0,6300.0,260.0,0.03125714285714286,3
Quadro RTX 8000,NVIDIA,GPU,19126.0,801.0,191.26,144049.0,125554.0,0.0,260.0,0.0,3
Titan V,NVIDIA,GPU,18816.0,845.0,188.16,176773.0,136749.0,2999.0,250.0,0.06274091363787929,3
Quadro P6000,NVIDIA,GPU,15811.0,773.0,158.11,47462.0,56151.0,5999.0,250.0,0.026356059343223874,3
Titan Xp,NVIDIA,GPU,18894.0,902.0,188.94,58384.0,65766.0,1199.0,250.0,0.157581317764804,3
GTX 1080 Ti,NVIDIA,GPU,18284.0,934.0,182.84,55628.0,61295.0,699.0,250.0,0.2615736766809728,4
Quadro RTX 5000,NVIDIA,GPU,16260.0,763.0,162.6,117173.0,105171.0,2300.0,230.0,0.07069565217391303,3
Quadro P5000,NVIDIA,GPU,11976.0,701.0,119.76,45153.0,47424.0,2499.0,180.0,0.04792316926770709,3
GTX 1080,NVIDIA,GPU,15265.0,890.0,152.65,51531.0,54640.0,599.0,180.0,0.25484140233722874,4
Tesla T4,NVIDIA,GPU,11113.0,567.0,111.13,78434.0,67669.0,0.0,70.0,0.0,3
Tesla K80,NVIDIA,GPU,0.0,0.0,0.0,16063.0,15947.0,5000.0,300.0,0.0,3
Quadro RTX 4000,NVIDIA,GPU,15515.0,904.0,155.15,94250.0,85184.0,899.0,160.0,0.17258064516129032,3
