hardware_name,unified_manufacturer,type,performance_tier,memory_size_gb,memory_bandwidth_gbps,fp32_tflops,unified_tdp,memory_compute_ratio,tops_per_watt_fp32
Biren BR100,Biren,GPGPU,Enterprise,64000000000.0,1640.0,256.0,550.0,6.40625,0.4654545454545454
Instinct MI300X,AMD,GPU,Enterprise,192000000000.0,5300.0,163.4,750.0,32.43574051407589,0.2178666666666666
Instinct MI325X,AMD,GPU,Enterprise,256000000000.0,6000.0,163.4,1000.0,36.71970624235006,0.1634
Instinct MI300A,AMD,GPU,Enterprise,128000000000.0,5300.0,122.6,760.0,43.2300163132137,0.1613157894736842
Huawei Ascend 910B,Huawei,GPU,Enterprise,32000000000.0,1228.0,94.0,400.0,13.063829787234043,0.235
L40,NVIDIA,GPU,Enterprise,48000000000.0,864.0,90.52,300.0,9.544851966416262,0.3017333333333333
GB200 NVL2,NVIDIA,GPU,Enterprise,384000000000.0,16000.0,90.0,1200.0,177.77777777777777,0.075
RTX 4090,NVIDIA,GPU,Enterprise,24000000000.0,1008.0,82.6,450.0,12.203389830508476,0.1835555555555555
H100 SXM5 80GB,NVIDIA,GPU,Enterprise,80000000000.0,3350.0,66.91,700.0,50.06725452099836,0.0955857142857142
H200 SXM,NVIDIA,GPU,Enterprise,0.0,4800.0,66.91,700.0,71.73815573157974,0.0955857142857142
GH100,NVIDIA,GPU,Enterprise,0.0,3072.0,66.91,700.0,45.91241966821103,0.0955857142857142
GH200,NVIDIA,GPU,Enterprise,0.0,4900.0,66.91,700.0,73.23270064265432,0.0955857142857142
B200,NVIDIA,GPU,Enterprise,192000000000.0,8000.0,62.08,1000.0,128.8659793814433,0.0620799999999999
RX 7900 XTX,AMD,GPU,Enterprise,24000000000.0,960.0,61.42,335.0,15.630087919244543,0.1833432835820895
L20 PCle,NVIDIA,GPU,Enterprise,48000000000.0,864.0,59.35,275.0,14.55770850884583,0.2158181818181818
H800 SXM5,NVIDIA,GPU,Enterprise,80000000000.0,3360.0,59.3,700.0,56.6610455311973,0.0847142857142857
Data Center GPU Max 1550,Intel,GPU,Enterprise,128000000000.0,3280.0,52.43,600.0,62.55960328056456,0.0873833333333333
H100 PCIe,NVIDIA,GPU,Enterprise,0.0,2040.0,51.22,350.0,39.82819211245607,0.1463428571428571
RTX 4080,NVIDIA,GPU,High-Performance,16000000000.0,716.8,48.74,320.0,14.706606483381204,0.1523125
Radeon Instinct MI250X,AMD,GPU,High-Performance,128000000000.0,3280.0,47.87,500.0,68.51890536870692,0.0957399999999999
Radeon Instinct MI300,AMD,GPU,High-Performance,128000000000.0,6550.0,47.87,600.0,136.82891163568,0.0797833333333333
Data Center GPU Max 1350,Intel,GPU,High-Performance,96000000000.0,2460.0,44.44,450.0,55.35553555355536,0.0987555555555555
HGX H20,NVIDIA,GPU,High-Performance,96000000000.0,4000.0,44.0,400.0,90.9090909090909,0.11
RTX 3090 Ti,NVIDIA,GPU,High-Performance,24000000000.0,1008.0,40.0,450.0,25.2,0.0888888888888888
RTX A6000,NVIDIA,GPU,High-Performance,48000000000.0,768.0,38.7,300.0,19.84496124031008,0.129
A40 PCIe,NVIDIA,GPU,High-Performance,48000000000.0,695.8,37.42,300.0,18.594334580438264,0.1247333333333333
RTX 3090,NVIDIA,GPU,High-Performance,24000000000.0,936.0,35.58,350.0,26.30691399662732,0.1016571428571428
Baidu Kunlun R200-8F (160W),Kunlunxin Baidu,XPU-R,High-Performance,32000000000.0,512.0,32.0,160.0,16.0,0.2
Baidu Kunlun RG800,Kunlunxin Baidu,XPU-R,High-Performance,32000000000.0,512.0,32.0,130.0,16.0,0.2461538461538461
Baidu Kunlun R200 (150W),Kunlunxin Baidu,XPU-R,High-Performance,16000000000.0,512.0,32.0,150.0,16.0,0.2133333333333333
A10G,NVIDIA,GPU,High-Performance,24000000000.0,600.2,31.5,150.0,19.05396825396825,0.21
A10 PCIe,NVIDIA,GPU,High-Performance,24000000000.0,600.2,31.24,150.0,19.21254801536492,0.2082666666666666
L4,NVIDIA,GPU,High-Performance,24000000000.0,300.1,30.29,72.0,9.907560250907892,0.4206944444444444
RTX 3080,NVIDIA,GPU,High-Performance,10000000000.0,760.0,29.77,320.0,25.529056096741687,0.09303125
RTX 4070,NVIDIA,GPU,High-Performance,12000000000.0,504.2,29.15,285.0,17.296740994854204,0.1022807017543859
