hardware_name,manufacturer,type,fp32_tflops,memory_bandwidth_gbps,tdp_watts,price_usd,gaming_score,efficiency_tops_per_watt,price_performance_ratio,memory_compute_ratio
Biren BR100,Biren,GPGPU,256.0,1640.0,550.0,51200.0,128000.0,0.46545454545454545,0.005,6.40625
Instinct MI300X,AMD,GPU,163.4,5300.0,750.0,32680.0,81700.0,0.21786666666666668,0.005,32.43574051407589
Instinct MI325X,AMD,GPU,163.4,6000.0,1000.0,32680.0,81700.0,0.16340000000000002,0.005,36.71970624235006
Instinct MI300A,AMD,GPU,122.6,5300.0,760.0,24520.0,61300.0,0.1613157894736842,0.005,43.2300163132137
Huawei Ascend 910B,Huawei,GPU,94.0,1228.0,400.0,16854.0,47000.0,0.235,0.005577311024089237,13.063829787234043
RTX 6000 Ada Generation,NVIDIA,GPU,91.06,1365.9,1821.2,6799.0,45530.0,0.05,0.013393146050889837,15.0
L40,NVIDIA,GPU,90.52,864.0,300.0,18104.0,45260.0,0.3017333333333333,0.005,9.544851966416262
GB200 NVL2,NVIDIA,GPU,90.0,16000.0,1200.0,18000.0,45000.0,0.075,0.005,177.77777777777777
GB300,NVIDIA,GPU,83.333333333333,1249.999999999995,1750.0,16666.6666666666,41666.666666666504,0.04761904761904743,0.005,15.0
RTX 4090,NVIDIA,GPU,82.6,1008.0,450.0,1599.0,41300.0,0.18355555555555556,0.051657285803627266,12.203389830508476
Huawei Ascend 910B4,Huawei,GPU,72.0,800.0,1440.0,14400.0,36000.0,0.05,0.005,11.11111111111111
H100 SXM5 80GB,NVIDIA,GPU,66.91,3350.0,700.0,44489.88,33455.0,0.09558571428571429,0.0015039375246685314,50.06725452099836
H200 SXM,NVIDIA,GPU,66.91,4800.0,700.0,13382.0,33455.0,0.09558571428571429,0.005,71.73815573157974
GH100,NVIDIA,GPU,66.91,3072.0,700.0,13382.0,33455.0,0.09558571428571429,0.005,45.91241966821103
GH200,NVIDIA,GPU,66.91,4900.0,700.0,13382.0,33455.0,0.09558571428571429,0.005,73.23270064265432
B200,NVIDIA,GPU,62.08,8000.0,1000.0,12416.0,31040.0,0.062079999999999996,0.005,128.8659793814433
RX 7900 XTX,AMD,GPU,61.42,960.0,335.0,999.0,30710.0,0.18334328358208957,0.061481481481481484,15.630087919244545
L20 PCle,NVIDIA,GPU,59.35,864.0,275.0,4299.0,29675.0,0.21581818181818183,0.013805536171202606,14.55770850884583
H800 SXM5,NVIDIA,GPU,59.3,3360.0,700.0,11860.0,29650.0,0.08471428571428571,0.005,56.6610455311973
Data Center GPU Max 1550,Intel,GPU,52.43,3280.0,600.0,10486.0,26215.0,0.08738333333333333,0.005,62.55960328056456
H100 PCIe,NVIDIA,GPU,51.22,2040.0,350.0,10244.0,25610.0,0.14634285714285714,0.005,39.82819211245607
RTX 4080,NVIDIA,GPU,48.74,716.8,320.0,1199.0,24370.0,0.15231250000000002,0.040650542118432026,14.706606483381204
Radeon Instinct MI250X,AMD,GPU,47.87,3280.0,500.0,14500.0,23935.0,0.09573999999999999,0.003301379310344827,68.51890536870692
Radeon Instinct MI300,AMD,GPU,47.87,6550.0,600.0,9574.0,23935.0,0.07978333333333333,0.005,136.82891163568
AWS Inferentia2,Amazon AWS,,47.5,820.0,950.0,9500.0,23750.0,0.05,0.005,17.263157894736842
Amazon Trainium1,Amazon AWS,GPU,47.5,9800.0,950.0,9500.0,23750.0,0.05,0.005,206.31578947368422
