hardware_name,unified_manufacturer,type,performance_tier,fp32_tflops,unified_tdp,process_nm,tops_per_watt_fp32,tops_per_watt_int8
Biren BR100,Biren,GPGPU,Enterprise,256.0,550.0,7.0,0.4654545454545454,3.723636363636364
Instinct MI300X,AMD,GPU,Enterprise,163.4,750.0,5.0,0.2178666666666666,3.486533333333333
Instinct MI325X,AMD,GPU,Enterprise,163.4,1000.0,5.0,0.1634,2.6
Instinct MI300A,AMD,GPU,Enterprise,122.6,760.0,5.0,0.1613157894736842,2.5805263157894736
Huawei Ascend 910B,Huawei,GPU,Enterprise,94.0,400.0,7.0,0.235,0.0
L40,NVIDIA,GPU,Enterprise,90.52,300.0,0.0,0.3017333333333333,1.2066666666666668
GB200 NVL2,NVIDIA,GPU,Enterprise,90.0,1200.0,0.0,0.075,4.166666666666667
GB300,NVIDIA,GPU,Enterprise,83.333333333333,1750.0,0.0,0.0476190476190474,0.0
RTX 4090,NVIDIA,GPU,Enterprise,82.6,450.0,0.0,0.1835555555555555,1.468
H100 SXM5 80GB,NVIDIA,GPU,Enterprise,66.91,700.0,5.0,0.0955857142857142,2.827142857142857
H200 SXM,NVIDIA,GPU,Enterprise,66.91,700.0,5.0,0.0955857142857142,2.827142857142857
GH100,NVIDIA,GPU,Enterprise,66.91,700.0,0.0,0.0955857142857142,2.827142857142857
GH200,NVIDIA,GPU,Enterprise,66.91,700.0,5.0,0.0955857142857142,2.827142857142857
B200,NVIDIA,GPU,Enterprise,62.08,1000.0,0.0,0.0620799999999999,4.5
RX 7900 XTX,AMD,GPU,Enterprise,61.42,335.0,0.0,0.1833432835820895,0.0
L20 PCle,NVIDIA,GPU,Enterprise,59.35,275.0,5.0,0.2158181818181818,0.8690909090909091
H800 SXM5,NVIDIA,GPU,Enterprise,59.3,700.0,5.0,0.0847142857142857,2.827142857142857
Data Center GPU Max 1550,Intel,GPU,Enterprise,52.43,600.0,10.0,0.0873833333333333,0.0
H100 PCIe,NVIDIA,GPU,Enterprise,51.22,350.0,4.0,0.1463428571428571,0.0
RTX 4080,NVIDIA,GPU,High-Performance,48.74,320.0,0.0,0.1523125,1.21875
Radeon Instinct MI250X,AMD,GPU,High-Performance,47.87,500.0,6.0,0.0957399999999999,0.766
Radeon Instinct MI300,AMD,GPU,High-Performance,47.87,600.0,5.0,0.0797833333333333,0.0
Data Center GPU Max 1350,Intel,GPU,High-Performance,44.44,450.0,10.0,0.0987555555555555,0.0
HGX H20,NVIDIA,GPU,High-Performance,44.0,400.0,0.0,0.11,0.74
RTX 3090 Ti,NVIDIA,GPU,High-Performance,40.0,450.0,8.0,0.0888888888888888,0.7111111111111111
RTX A6000,NVIDIA,GPU,High-Performance,38.7,300.0,8.0,0.129,0.0
A40 PCIe,NVIDIA,GPU,High-Performance,37.42,300.0,8.0,0.1247333333333333,0.9976666666666668
RTX 3090,NVIDIA,GPU,High-Performance,35.58,350.0,8.0,0.1016571428571428,0.8114285714285714
Baidu Kunlun R200-8F (160W),Kunlunxin Baidu,XPU-R,High-Performance,32.0,160.0,7.0,0.2,1.6
Baidu Kunlun RG800,Kunlunxin Baidu,XPU-R,High-Performance,32.0,130.0,0.0,0.2461538461538461,1.9692307692307691
Baidu Kunlun R200 (150W),Kunlunxin Baidu,XPU-R,High-Performance,32.0,150.0,7.0,0.2133333333333333,1.7066666666666668
Tianshu Zhixin Tiangai 100 (BI-V100),Iluvatar CoreX,GPGPU,High-Performance,32.0,250.0,7.0,0.128,1.024
A10G,NVIDIA,GPU,High-Performance,31.5,150.0,8.0,0.21,0.0
A10 PCIe,NVIDIA,GPU,High-Performance,31.24,150.0,8.0,0.2082666666666666,1.6666666666666667
L4,NVIDIA,GPU,High-Performance,30.29,72.0,5.0,0.4206944444444444,3.361111111111111
RTX 3080,NVIDIA,GPU,High-Performance,29.77,320.0,8.0,0.09303125,0.0
RTX 4070,NVIDIA,GPU,High-Performance,29.15,285.0,0.0,0.1022807017543859,0.8175438596491228
RTX A5000,NVIDIA,GPU,High-Performance,27.77,230.0,8.0,0.1207391304347826,0.0
MTT S4000,Moore Threads (Tencent),GPU,High-Performance,25.0,450.0,12.0,0.0555555555555555,0.4444444444444444
Cambricon MLU370-X8,Cambricon,Unknown,High-Performance,24.0,250.0,7.0,0.096,1.024
Cambricon MLU370-X4,Cambricon,Unknown,High-Performance,24.0,150.0,7.0,0.16,1.7066666666666668
Tesla D1 Dojo,Tesla,GPU,High-Performance,22.6,400.0,7.0,0.0565,0.0
Data Center GPU Max 1100,Intel,GPU,High-Performance,22.22,300.0,10.0,0.0740666666666666,0.0
Baidu Kunlun R100 (100W),Kunlunxin Baidu,XPU-R,High-Performance,20.0,100.0,0.0,0.2,1.7
A100,NVIDIA,GPU,Mid-Range,19.5,400.0,7.0,0.04875,1.56
A800 SXM,NVIDIA,GPU,Mid-Range,19.49,400.0,7.0,0.048725,0.0
A800 PCIe 80 GB,NVIDIA,GPU,Mid-Range,19.49,250.0,7.0,0.0779599999999999,0.0
A800 PCIe 40 GB,NVIDIA,GPU,Mid-Range,19.49,250.0,7.0,0.0779599999999999,0.0
A100 SXM4 40 GB,NVIDIA,GPU,Mid-Range,19.49,400.0,7.0,0.048725,1.56
A100 SXM4 80 GB,NVIDIA,GPU,Mid-Range,19.49,400.0,7.0,0.048725,1.56
A100 PCIe,NVIDIA,GPU,Mid-Range,19.49,300.0,7.0,0.0649666666666666,2.08
RTX A4000,NVIDIA,GPU,Mid-Range,19.17,140.0,8.0,0.1369285714285714,0.0
Cambricon MLU370-S4/S8,Cambricon,Unknown,Mid-Range,18.0,75.0,7.0,0.24,2.56
Cambricon MLU370-S4,Cambricon,Unknown,Mid-Range,18.0,75.0,7.0,0.24,2.56
Baidu Kunlun R100 (75W),Kunlunxin Baidu,XPU-R,Mid-Range,18.0,75.0,0.0,0.24,1.7066666666666668
MetaX MXC500 (OAM),MetaX,GPGPU,Mid-Range,18.0,450.0,7.0,0.04,1.2444444444444445
Cambricon MLU370-S8,Cambricon,Unknown,Mid-Range,18.0,75.0,7.0,0.24,2.56
Tesla V100S PCIe 32 GB,NVIDIA,GPU,Mid-Range,16.35,250.0,12.0,0.0654,0.0
Quadro RTX 6000,NVIDIA,GPU,Mid-Range,16.3099999999999,260.0,12.0,0.0627307692307688,0.0
Quadro RTX 8000,NVIDIA,GPU,Mid-Range,16.3,260.0,12.0,0.0626923076923077,0.0
Tesla V100 DGXS 16 GB,NVIDIA,GPU,Mid-Range,16.2,250.0,12.0,0.0648,0.0
Baidu Kunlun K200,Kunlunxin Baidu,XPU,Mid-Range,16.0,150.0,14.0,0.1066666666666666,1.7066666666666668
Baidu Kunlun I,Kunlunxin Baidu,XPU,Mid-Range,16.0,150.0,14.0,0.1066666666666666,1.7066666666666668
