hardware_name,unified_manufacturer,type,performance_tier,unified_price,fp32_tflops,fps_estimate_3d,unified_tdp,tflops_per_dollar,fps_per_dollar,tops_per_watt_fp32
Huawei Ascend 910B,Huawei,GPU,Enterprise,16854.0,94.0,0.0,400.0,0.0055773110240892,0.0,0.235
RTX 6000 Ada Generation,NVIDIA,GPU,Enterprise,6799.0,91.06,0.0,0.0,0.0133931460508898,0.0,0.0
RTX 4090,NVIDIA,GPU,Enterprise,1599.0,82.6,0.0,450.0,0.0516572858036272,0.0,0.1835555555555555
H100 SXM5 80GB,NVIDIA,GPU,Enterprise,44489.88,66.91,0.0,700.0,0.0015039375246685,0.0,0.0955857142857142
RX 7900 XTX,AMD,GPU,Enterprise,999.0,61.42,0.0,335.0,0.0614814814814814,0.0,0.1833432835820895
L20 PCle,NVIDIA,GPU,Enterprise,4299.0,59.35,0.0,275.0,0.0138055361712026,0.0,0.2158181818181818
RTX 4080,NVIDIA,GPU,High-Performance,1199.0,48.74,0.0,320.0,0.040650542118432,0.0,0.1523125
Radeon Instinct MI250X,AMD,GPU,High-Performance,14500.0,47.87,0.0,500.0,0.0033013793103448,0.0,0.0957399999999999
HGX H20,NVIDIA,GPU,High-Performance,12000.0,44.0,0.0,400.0,0.0036666666666666,0.0,0.11
RTX 3090 Ti,NVIDIA,GPU,High-Performance,1999.0,40.0,290.94,450.0,0.0200100050025012,0.1455427713856928,0.0888888888888888
RTX A6000,NVIDIA,GPU,High-Performance,4649.0,38.7,221.22,300.0,0.008324370832437,0.0475844267584426,0.129
RTX 3090,NVIDIA,GPU,High-Performance,1499.0,35.58,263.95,350.0,0.0237358238825883,0.1760840560373582,0.1016571428571428
A10 PCIe,NVIDIA,GPU,High-Performance,2800.0,31.24,0.0,150.0,0.0111571428571428,0.0,0.2082666666666666
RTX 3080,NVIDIA,GPU,High-Performance,699.0,29.77,248.53,320.0,0.0425894134477825,0.3555507868383405,0.09303125
RTX A5000,NVIDIA,GPU,High-Performance,2250.0,27.77,228.67,230.0,0.0123422222222222,0.1016311111111111,0.1207391304347826
A100 SXM4 40 GB,NVIDIA,GPU,Mid-Range,15000.0,19.49,0.0,400.0,0.0012993333333333,0.0,0.048725
RTX A4000,NVIDIA,GPU,Mid-Range,1000.0,19.17,189.88,140.0,0.01917,0.18988,0.1369285714285714
Quadro RTX 6000,NVIDIA,GPU,Mid-Range,6300.0,16.3099999999999,196.92,260.0,0.0025888888888888,0.0312571428571428,0.0627307692307688
Tesla V100 SXM2 32 GB,NVIDIA,GPU,Mid-Range,11458.0,15.67,0.0,300.0,0.0013676034211904,0.0,0.0522333333333333
Tesla V100 SXM2,NVIDIA,GPU,Mid-Range,11500.0,15.67,0.0,300.0,0.0013626086956521,0.0,0.0522333333333333
Titan V,NVIDIA,GPU,Mid-Range,2999.0,14.9,188.16,250.0,0.004968322774258,0.0627409136378792,0.0596
Tesla V100 PCIe 32 GB,NVIDIA,GPU,Mid-Range,11458.0,14.13,0.0,250.0,0.0012331995112585,0.0,0.05652
Tesla V100 PCIe 16 GB,NVIDIA,GPU,Mid-Range,10664.0,14.13,0.0,250.0,0.0013250187546886,0.0,0.05652
RTX 2080 Ti 11GB,NVIDIA,GPU,Mid-Range,999.0,13.45,0.0,250.0,0.0134634634634634,0.0,0.0538
Quadro P6000,NVIDIA,GPU,Mid-Range,5999.0,12.63,158.11,250.0,0.0021053508918153,0.0263560593432238,0.05052
Titan Xp,NVIDIA,GPU,Mid-Range,1199.0,12.15,188.94,250.0,0.0101334445371142,0.157581317764804,0.0486
P40,NVIDIA,GPU,Mid-Range,5699.0,11.76,0.0,250.0,0.0020635199157746,0.0,0.04704
GTX 1080 Ti,NVIDIA,GPU,Mid-Range,699.0,11.34,182.84,250.0,0.0162231759656652,0.2615736766809728,0.04536
Quadro RTX 5000,NVIDIA,GPU,Mid-Range,2300.0,11.15,162.6,230.0,0.0048478260869565,0.070695652173913,0.0484782608695652
P100,NVIDIA,GPU,Entry-Level,5699.0,9.3,0.0,250.0,0.0016318652395157,0.0,0.0372
Quadro P5000,NVIDIA,GPU,Entry-Level,2499.0,8.873,119.76,180.0,0.0035506202480992,0.047923169267707,0.0492944444444444
GTX 1080,NVIDIA,GPU,Entry-Level,599.0,8.873,152.65,180.0,0.014813021702838,0.2548414023372287,0.0492944444444444
Tesla K80,NVIDIA,GPU,Entry-Level,5000.0,8.126,0.0,300.0,0.0016251999999999,0.0,0.0270866666666666
Quadro RTX 4000,NVIDIA,GPU,Entry-Level,899.0,7.119,155.15,160.0,0.0079187986651835,0.1725806451612903,0.04449375
M40,NVIDIA,GPU,Entry-Level,10799.0,6.832,0.0,250.0,0.0006326511714047,0.0,0.0273279999999999
GTX Titan X,NVIDIA,GPU,Entry-Level,999.0,6.691,131.73,250.0,0.0066976976976976,0.1318618618618618,0.026764
GTX Titan Black,NVIDIA,GPU,Entry-Level,999.0,5.645,91.4,250.0,0.0056506506506506,0.0914914914914915,0.02258
Quadro P4000,NVIDIA,GPU,Entry-Level,815.0,5.304,114.22,105.0,0.0065079754601226,0.1401472392638036,0.0505142857142857
Quadro K6000,NVIDIA,GPU,Entry-Level,5265.0,5.196,81.08,225.0,0.0009868945868945,0.0153998100664767,0.0230933333333333
Tesla K40s,NVIDIA,GPU,Entry-Level,7699.0,5.046,0.0,245.0,0.0006554097934796,0.0,0.0205959183673469
Tesla K40t,NVIDIA,GPU,Entry-Level,7699.0,5.046,0.0,245.0,0.0006554097934796,0.0,0.0205959183673469
GTX 980,NVIDIA,GPU,Legacy,549.0,4.981,112.37,165.0,0.0090728597449908,0.2046812386156648,0.0301878787878787
GTX Titan,NVIDIA,GPU,Legacy,999.0,4.709,85.56,250.0,0.0047137137137137,0.0856456456456456,0.018836
GTX 780,NVIDIA,GPU,Legacy,649.0,4.156,80.22,250.0,0.0064036979969183,0.1236055469953775,0.016624
Tesla K20X,NVIDIA,GPU,Legacy,7699.0,3.935,0.0,235.0,0.0005111053383556,0.0,0.0167446808510638
